PROPOSAL_NO,PI_ID,COLLEGE_TEXT,SPONSOR_NAME,PROPOSAL_TYPE_CD,SUBMIT_DT,REQUEST_AMT,PROP_STATUS_CD,AWARD_NO,AWARD_AMT,DECISION_DT,AWARD_START_DT,AWARD_END_DT,EXTRACT_TS
LP-2025-01360,I1061,School of Business,Northstar Analytics,RES,20250116,108700.00,ACT,LA-2025-01360,70300.00,20250512,20250602,20261124,20260831 235900
LP-2025-01361,I1067,College of Social Innovation,Urban Resilience Network,RES,20251102,133700.00,ACT,LA-2025-01361,104900.00,20260317,20260425,20271017,20260831 235900
LP-2025-01362,I1046,College of Science,Internal Strategic Research Fund,RES,20250725,57900.00,WD,,0.00,20251125,,,20260831 235900
LP-2026-01363,I1131,College of Social Innovation,Education Access Foundation,RES,20260706,78500.00,ACT,LA-2026-01363,74000.00,20260831,20260923,20270923,20260831 235900
LP-2025-01364,I1043,College of Social Innovation,Department of Energy and Climate,RES,20250731,86100.00,DCL,,0.00,20260108,,,20260831 235900
LP-2026-01365,I1065,School of Law and Public Policy,Department of Energy and Climate,INT,20260628,180100.00,ACT,LA-2026-01365,167500.00,20260831,20260911,20270911,20260831 235900
LP-2024-01366,I1005,School of Business,National Health Research Council,FEL,20240930,22300.00,DCL,,0.00,20250405,,,20260831 235900
LP-2023-01367,I1040,College of Architecture and Design,Social Innovation Research Council,RES,20230712,132900.00,DCL,,0.00,20231211,,,20260831 235900
LP-2026-01368,I1049,School of Law and Public Policy,Natural Sciences Research Council,RES,20260802,89600.00,REV,,0.00,,,,20260831 235900
LP-2024-01369,I1158,College of Science,National Health Research Council,EQP,20241216,1400900.00,AWD,LA-2024-01369,1296100.00,20250620,20250805,20260805,20260831 235900
LP-2024-01370,I1009,School of Law and Public Policy,National Health Research Council,RES,20241023,333800.00,DCL,,0.00,20250212,,,20260831 235900
LP-2023-01371,I1074,College of Engineering,Advanced Technology Agency,RES,20231219,203600.00,CLS,LA-2023-01371,150100.00,20240316,20240428,20250428,20260831 235900
LP-2026-01372,I1164,College of Humanities,Department of Energy and Climate,FEL,20260813,17000.00,SUB,,0.00,,,,20260831 235900
LP-2023-01373,I1118,College of Science,Massachusetts Innovation Fund,INT,20230311,72900.00,DCL,,0.00,20230626,,,20260831 235900
LP-2024-01374,I1022,College of Science,Helix Medical Devices,RES,20241001,104600.00,ACT,LA-2024-01374,77200.00,20250320,20250507,20260507,20260831 235900
LP-2023-01375,I1148,College of Humanities,Apex Biotechnologies,RES,20230531,47600.00,CLS,LA-2023-01375,37100.00,20231012,20231126,20251125,20260831 235900
LP-2024-01376,I1031,College of Health Sciences,Internal Strategic Research Fund,EQP,20240521,1156900.00,CLS,LA-2024-01376,853800.00,20241119,20250110,20280110,20260831 235900
LP-2026-01377,I1041,School of Law and Public Policy,National Science Foundation,INT,20260722,49600.00,SUB,,0.00,,,,20260831 235900
LP-2026-01378,I1175,College of Health Sciences,Northstar Analytics,RES,20260301,219400.00,DCL,,0.00,20260721,,,20260831 235900
LP-2023-01379,I1114,College of Engineering,Education Access Foundation,EQP,20231027,109700.00,DCL,,0.00,20240125,,,20260831 235900
LP-2026-01380,I1180,College of Humanities,Education Access Foundation,RES,20260406,96800.00,REV,,0.00,,,,20260831 235900
LP-2026-01381,I1008,College of Architecture and Design,Vertex Mobility Systems,RES,20260102,233200.00,ACT,LA-2026-01381,221100.00,20260509,20260623,20290622,20260831 235900
LP-2023-01382,I1161,School of Law and Public Policy,Natural Sciences Research Council,RES,20230722,51700.00,CLS,LA-2023-01382,42200.00,20231105,20240103,20250626,20260831 235900
LP-2023-01383,I1126,College of Science,Internal Strategic Research Fund,RES,20231017,93100.00,DCL,,0.00,20231206,,,20260831 235900
LP-2025-01384,I1033,School of Law and Public Policy,Northstar Analytics,INT,20250219,268400.00,ACT,LA-2025-01384,248600.00,20250507,20250621,20270621,20260831 235900
LP-2024-01385,I1104,College of Architecture and Design,Future Cities Foundation,FEL,20241031,187500.00,ACT,LA-2024-01385,152000.00,20250407,20250603,20280602,20260831 235900
LP-2023-01386,I1050,College of Engineering,National Health Research Council,EQP,20230716,99000.00,CLS,LA-2023-01386,83900.00,20240116,20240226,20250225,20260831 235900
LP-2025-01387,I1164,College of Humanities,Social Innovation Research Council,INT,20250201,146000.00,ACT,LA-2025-01387,105400.00,20250502,20250523,20261114,20260831 235900
LP-2023-01388,I1130,College of Engineering,Biomedical Discovery Foundation,RES,20230327,595000.00,CLS,LA-2023-01388,539900.00,20230514,20230614,20260613,20260831 235900
LP-2023-01389,I1034,College of Engineering,Internal Strategic Research Fund,RES,20230825,230200.00,CLS,LA-2023-01389,203800.00,20231204,20240107,20250630,20260831 235900
LP-2025-01390,I1046,College of Science,Global Development Partnership,RES,20250306,51800.00,DCL,,0.00,20250426,,,20260831 235900
LP-2025-01391,I1165,School of Business,National Health Research Council,EQP,20251103,266500.00,DCL,,0.00,20260404,,,20260831 235900
LP-2025-01392,I1123,College of Social Innovation,Global Health Foundation,RES,20250223,30300.00,AWD,LA-2025-01392,21800.00,20250725,20250816,20260816,20260831 235900
LP-2024-01393,I1113,School of Law and Public Policy,Future Cities Foundation,RES,20241115,242500.00,DCL,,0.00,20250101,,,20260831 235900
LP-2025-01394,I1042,College of Engineering,Apex Biotechnologies,RES,20250804,126100.00,DCL,,0.00,20251018,,,20260831 235900
LP-2023-01395,I1126,College of Science,Global Development Partnership,RES,20230924,191100.00,CLS,LA-2023-01395,164700.00,20240119,20240203,20250727,20260831 235900
LP-2023-01396,I1098,College of Engineering,Education Access Foundation,RES,20230618,454500.00,DCL,,0.00,20231120,,,20260831 235900
LP-2026-01397,I1161,School of Law and Public Policy,Massachusetts Innovation Fund,RES,20260529,178100.00,DCL,,0.00,20260724,,,20260831 235900
LP-2024-01398,I1080,College of Architecture and Design,Urban Resilience Network,INT,20241104,34200.00,ACT,LA-2024-01398,32800.00,20250101,20250212,20260212,20260831 235900
LP-2025-01399,I1003,College of Social Innovation,Northstar Analytics,FEL,20250114,64000.00,ACT,LA-2025-01399,59300.00,20250422,20250628,20261220,20260831 235900
LP-2024-01400,I1037,School of Business,Helix Medical Devices,FEL,20240829,247200.00,CLS,LA-2024-01400,229500.00,20250220,20250321,20270321,20260831 235900
LP-2024-01401,I1063,College of Health Sciences,Department of Energy and Climate,RES,20241012,982500.00,CLS,LA-2024-01401,893000.00,20250219,20250424,20260424,20260831 235900
LP-2025-01402,I1084,College of Humanities,Internal Strategic Research Fund,TRN,20250622,256000.00,ACT,LA-2025-01402,212900.00,20251005,20251129,20270523,20260831 235900
LP-2024-01403,I1095,College of Health Sciences,Faculty Seed Grant Program,RES,20240411,137400.00,DCL,,0.00,20240910,,,20260831 235900
LP-2023-01404,I1082,College of Engineering,Social Innovation Research Council,TRN,20230402,173600.00,ACT,LA-2023-01404,126100.00,20230818,20230930,20250323,20260831 235900
LP-2023-01405,I1074,College of Engineering,Social Innovation Research Council,RES,20230102,83900.00,CLS,LA-2023-01405,74500.00,20230421,20230508,20250507,20260831 235900
LP-2023-01406,I1124,College of Humanities,Internal Strategic Research Fund,FEL,20230112,95100.00,WD,,0.00,20230629,,,20260831 235900
LP-2023-01407,I1034,College of Engineering,Future Cities Foundation,RES,20230923,31900.00,ACT,LA-2023-01407,29900.00,20240115,20240327,20250327,20260831 235900
LP-2023-01408,I1076,College of Humanities,Internal Strategic Research Fund,RES,20230221,196600.00,CLS,LA-2023-01408,174300.00,20230512,20230717,20250107,20260831 235900
LP-2026-01409,I1072,College of Architecture and Design,Helix Medical Devices,RES,20260808,18100.00,SUB,,0.00,,,,20260831 235900
LP-2024-01410,I1116,College of Humanities,Urban Resilience Network,INT,20240511,31900.00,DCL,,0.00,20240704,,,20260831 235900
LP-2026-01411,I1155,College of Social Innovation,Internal Strategic Research Fund,RES,20260314,110700.00,DCL,,0.00,20260831,,,20260831 235900
LP-2023-01412,I1143,College of Health Sciences,Natural Sciences Research Council,RES,20231212,228900.00,DCL,,0.00,20240508,,,20260831 235900
LP-2025-01413,I1059,College of Social Innovation,Massachusetts Innovation Fund,RES,20250330,118500.00,ACT,LA-2025-01413,76800.00,20250713,20250918,20270312,20260831 235900
LP-2024-01414,I1080,College of Architecture and Design,Social Innovation Research Council,EQP,20240730,15000.00,CLS,LA-2024-01414,14100.00,20241028,20241128,20271128,20260831 235900
LP-2023-01415,I1120,College of Architecture and Design,Natural Sciences Research Council,RES,20231105,330300.00,DCL,,0.00,20240225,,,20260831 235900
LP-2026-01416,I1147,College of Social Innovation,Department of Energy and Climate,RES,20260512,87400.00,WD,,0.00,20260831,,,20260831 235900
LP-2026-01417,I1163,College of Social Innovation,Advanced Technology Agency,TRN,20260321,114600.00,ACT,LA-2026-01417,79400.00,20260831,20261003,20280326,20260831 235900
LP-2024-01418,I1145,School of Law and Public Policy,Ontario Research Fund,RES,20240728,195500.00,CLS,LA-2024-01418,166900.00,20241023,20250104,20270104,20260831 235900
LP-2023-01419,I1148,College of Humanities,Natural Sciences Research Council,TRN,20230519,89900.00,DCL,,0.00,20230814,,,20260831 235900
LP-2025-01420,I1071,College of Health Sciences,Natural Sciences Research Council,FEL,20250309,163400.00,DCL,,0.00,20250518,,,20260831 235900
LP-2024-01421,I1076,College of Humanities,Interdisciplinary Catalyst Fund,RES,20240715,184000.00,DCL,,0.00,20241018,,,20260831 235900
LP-2024-01422,I1091,College of Social Innovation,National Science Foundation,RES,20240325,120400.00,ACT,LA-2024-01422,114500.00,20240524,20240620,20250620,20260831 235900
LP-2025-01423,I1092,College of Humanities,Natural Sciences Research Council,RES,20250815,63000.00,CLS,LA-2025-01423,53000.00,20260106,20260315,20290314,20260831 235900
LP-2024-01424,I1068,College of Humanities,Interdisciplinary Catalyst Fund,RES,20240225,150000.00,DCL,,0.00,20240524,,,20260831 235900
LP-2025-01425,I1030,College of Science,Ontario Research Fund,RES,20251104,78200.00,ACT,LA-2025-01425,63400.00,20260512,20260525,20280524,20260831 235900
LP-2024-01426,I1015,College of Health Sciences,National Science Foundation,RES,20241129,95700.00,ACT,LA-2024-01426,90800.00,20250118,20250216,20270216,20260831 235900
LP-2024-01427,I1016,College of Architecture and Design,Vertex Mobility Systems,FEL,20240428,66500.00,DCL,,0.00,20240923,,,20260831 235900
LP-2026-01428,I1035,College of Social Innovation,Urban Resilience Network,RES,20260417,146700.00,WD,,0.00,20260831,,,20260831 235900
LP-2025-01429,I1037,School of Business,Department of Public Health,RES,20251106,407700.00,CLS,LA-2025-01429,346900.00,20260424,20260701,20290630,20260831 235900
LP-2025-01430,I1116,College of Humanities,Natural Sciences Research Council,FEL,20250426,60600.00,AWD,LA-2025-01430,44100.00,20250613,20250708,20260708,20260831 235900
LP-2025-01431,I1180,College of Humanities,Future Cities Foundation,INT,20251008,57200.00,ACT,LA-2025-01431,54900.00,20251226,20260203,20280203,20260831 235900
LP-2023-01432,I1002,College of Engineering,Ontario Research Fund,INT,20231030,356600.00,DCL,,0.00,20240219,,,20260831 235900
LP-2023-01433,I1016,College of Architecture and Design,Northstar Analytics,RES,20230620,312500.00,CLS,LA-2023-01433,194800.00,20231121,20240106,20270105,20260831 235900
LP-2025-01434,I1037,School of Business,Northstar Analytics,RES,20251102,324400.00,DCL,,0.00,20260202,,,20260831 235900
LP-2023-01435,I1131,College of Social Innovation,Internal Strategic Research Fund,INT,20230610,108200.00,CLS,LA-2023-01435,97800.00,20231015,20231123,20251122,20260831 235900
LP-2025-01436,I1096,College of Architecture and Design,Department of Public Health,RES,20250101,167300.00,DCL,,0.00,20250306,,,20260831 235900
LP-2024-01437,I1040,College of Architecture and Design,Education Access Foundation,RES,20241213,58300.00,DCL,,0.00,20250515,,,20260831 235900
LP-2026-01438,I1008,College of Architecture and Design,Vertex Mobility Systems,TRN,20260305,203500.00,ACT,LA-2026-01438,162200.00,20260521,20260724,20290723,20260831 235900
LP-2024-01439,I1017,School of Law and Public Policy,Apex Biotechnologies,FEL,20240923,199500.00,DCL,,0.00,20241119,,,20260831 235900
LP-2026-01440,I1141,School of Business,Social Innovation Research Council,RES,20260311,72700.00,ACT,LA-2026-01440,54200.00,20260620,20260717,20280108,20260831 235900
LP-2024-01441,I1082,College of Engineering,Urban Resilience Network,RES,20240529,34900.00,DCL,,0.00,20240731,,,20260831 235900
LP-2025-01442,I1166,College of Science,Global Health Foundation,RES,20250926,106400.00,DCL,,0.00,20251128,,,20260831 235900
LP-2023-01443,I1173,School of Business,International Research Consortium,RES,20230225,86000.00,DCL,,0.00,20230509,,,20260831 235900
LP-2026-01444,I1050,College of Engineering,National Science Foundation,TRN,20260625,73000.00,ACT,LA-2026-01444,46900.00,20260831,20260918,20290917,20260831 235900
LP-2024-01445,I1033,School of Law and Public Policy,National Health Research Council,EQP,20240817,45700.00,CLS,LA-2024-01445,32500.00,20241012,20241117,20251117,20260831 235900
LP-2023-01446,I1002,College of Engineering,Apex Biotechnologies,TRN,20230506,99500.00,DCL,,0.00,20230624,,,20260831 235900
LP-2025-01447,I1081,School of Law and Public Policy,Social Innovation Research Council,TRN,20251003,236400.00,DCL,,0.00,20251115,,,20260831 235900
LP-2026-01448,I1155,College of Social Innovation,Urban Resilience Network,EQP,20260330,178200.00,CLS,LA-2026-01448,148000.00,20260813,20260901,20280223,20260831 235900
LP-2025-01449,I1035,College of Social Innovation,National Health Research Council,RES,20250822,184300.00,DCL,,0.00,20260107,,,20260831 235900
LP-2023-01450,I1053,School of Business,Ontario Research Fund,RES,20230201,36700.00,ACT,LA-2023-01450,30700.00,20230512,20230529,20240528,20260831 235900
LP-2025-01451,I1096,College of Architecture and Design,Biomedical Discovery Foundation,RES,20251218,217900.00,AWD,LA-2025-01451,146100.00,20260316,20260420,20280419,20260831 235900
LP-2025-01452,I1047,College of Health Sciences,Civic Data Collaborative,TRN,20250128,38700.00,ACT,LA-2025-01452,28400.00,20250424,20250617,20270617,20260831 235900
LP-2025-01453,I1162,College of Engineering,Department of Public Health,INT,20250707,296800.00,DCL,,0.00,20251203,,,20260831 235900
LP-2024-01454,I1134,College of Science,Natural Sciences Research Council,RES,20240502,259900.00,DCL,,0.00,20241107,,,20260831 235900
LP-2025-01455,I1161,School of Law and Public Policy,National Health Research Council,RES,20250131,163700.00,ACT,LA-2025-01455,138300.00,20250715,20250813,20270813,20260831 235900
LP-2025-01456,I1143,College of Health Sciences,Department of Public Health,RES,20250109,155900.00,AWD,LA-2025-01456,131400.00,20250627,20250817,20260817,20260831 235900
LP-2024-01457,I1029,School of Business,National Science Foundation,RES,20240131,124700.00,CLS,LA-2024-01457,89000.00,20240417,20240508,20251030,20260831 235900
LP-2024-01458,I1134,College of Science,National Health Research Council,TRN,20240707,52700.00,DCL,,0.00,20240922,,,20260831 235900
LP-2023-01459,I1042,College of Engineering,Biomedical Discovery Foundation,FEL,20230910,126300.00,CLS,LA-2023-01459,89700.00,20240112,20240301,20250301,20260831 235900
LP-2025-01460,I1051,College of Social Innovation,Global Development Partnership,FEL,20251111,95300.00,ACT,LA-2025-01460,70200.00,20260417,20260519,20280518,20260831 235900
LP-2024-01461,I1137,School of Law and Public Policy,Department of Public Health,EQP,20240125,118800.00,ACT,LA-2024-01461,76500.00,20240709,20240808,20270808,20260831 235900
LP-2023-01462,I1146,College of Engineering,Department of Public Health,TRN,20230403,92500.00,DCL,,0.00,20230612,,,20260831 235900
LP-2025-01463,I1115,College of Social Innovation,Natural Sciences Research Council,RES,20250320,378500.00,ACT,LA-2025-01463,325700.00,20250507,20250719,20270719,20260831 235900
LP-2024-01464,I1159,College of Health Sciences,Social Innovation Research Council,RES,20241111,58000.00,DCL,,0.00,20250413,,,20260831 235900
LP-2025-01465,I1148,College of Humanities,Advanced Technology Agency,RES,20250310,181700.00,ACT,LA-2025-01465,115000.00,20250813,20251020,20281019,20260831 235900
LP-2025-01466,I1129,School of Law and Public Policy,Department of Energy and Climate,RES,20250801,180700.00,ACT,LA-2025-01466,159900.00,20260103,20260209,20280209,20260831 235900
LP-2025-01467,I1157,School of Business,Community Wellbeing Trust,RES,20250531,36000.00,ACT,LA-2025-01467,28600.00,20250831,20250930,20270930,20260831 235900
LP-2024-01468,I1036,College of Humanities,Faculty Seed Grant Program,RES,20240318,42300.00,CLS,LA-2024-01468,39400.00,20240829,20240930,20250930,20260831 235900
LP-2024-01469,I1159,College of Health Sciences,Urban Resilience Network,RES,20240102,617500.00,DCL,,0.00,20240516,,,20260831 235900
LP-2023-01470,I1119,College of Health Sciences,Helix Medical Devices,RES,20231019,94700.00,CLS,LA-2023-01470,82600.00,20231227,20240311,20250902,20260831 235900
LP-2023-01471,I1026,College of Engineering,Global Health Foundation,RES,20230704,45800.00,WD,,0.00,20231215,,,20260831 235900
LP-2025-01472,I1154,College of Engineering,National Science Foundation,FEL,20251118,308900.00,DCL,,0.00,20260501,,,20260831 235900
LP-2023-01473,I1035,College of Social Innovation,Social Innovation Research Council,FEL,20231102,33800.00,WD,,0.00,20231212,,,20260831 235900
LP-2023-01474,I1029,School of Business,Biomedical Discovery Foundation,EQP,20230908,113000.00,ACT,LA-2023-01474,74000.00,20231222,20240125,20270124,20260831 235900
LP-2023-01475,I1064,College of Architecture and Design,Ontario Research Fund,RES,20230701,78900.00,CLS,LA-2023-01475,56000.00,20240104,20240221,20250220,20260831 235900
LP-2025-01476,I1129,School of Law and Public Policy,Faculty Seed Grant Program,RES,20250127,987900.00,DCL,,0.00,20250612,,,20260831 235900
LP-2025-01477,I1095,College of Health Sciences,Faculty Seed Grant Program,RES,20250623,122500.00,DCL,,0.00,20250729,,,20260831 235900
LP-2024-01478,I1039,College of Health Sciences,Northstar Analytics,RES,20240408,28500.00,DCL,,0.00,20240921,,,20260831 235900
LP-2025-01479,I1017,School of Law and Public Policy,Ontario Research Fund,RES,20250114,103000.00,AWD,LA-2025-01479,84900.00,20250605,20250719,20270719,20260831 235900
LP-2024-01480,I1152,College of Architecture and Design,Social Innovation Research Council,FEL,20240822,814400.00,CLS,LA-2024-01480,600300.00,20250106,20250210,20280210,20260831 235900
LP-2024-01481,I1010,College of Engineering,Internal Strategic Research Fund,RES,20240831,170000.00,ACT,LA-2024-01481,137100.00,20241116,20241217,20261217,20260831 235900
LP-2023-01482,I1158,College of Science,Internal Strategic Research Fund,RES,20230728,170900.00,ACT,LA-2023-01482,140400.00,20231002,20231127,20241126,20260831 235900
LP-2026-01483,I1139,College of Social Innovation,Apex Biotechnologies,RES,20260715,126900.00,AWD,LA-2026-01483,122800.00,20260831,20261010,20280402,20260831 235900
LP-2026-01484,I1170,College of Engineering,Vertex Mobility Systems,RES,20260209,114400.00,ACT,LA-2026-01484,100700.00,20260814,20260919,20290918,20260831 235900
LP-2026-01485,I1047,College of Health Sciences,Natural Sciences Research Council,RES,20260728,198600.00,SUB,,0.00,,,,20260831 235900
LP-2024-01486,I1088,College of Architecture and Design,Internal Strategic Research Fund,RES,20240401,104900.00,WD,,0.00,20240815,,,20260831 235900
LP-2024-01487,I1040,College of Architecture and Design,Internal Strategic Research Fund,RES,20240810,974800.00,CLS,LA-2024-01487,703000.00,20250105,20250209,20260209,20260831 235900
LP-2024-01488,I1023,College of Health Sciences,Civic Data Collaborative,RES,20240325,317200.00,WD,,0.00,20240802,,,20260831 235900
LP-2024-01489,I1072,College of Architecture and Design,Global Health Foundation,EQP,20240607,41200.00,ACT,LA-2024-01489,34900.00,20240831,20241015,20251015,20260831 235900
LP-2026-01490,I1143,College of Health Sciences,Department of Public Health,FEL,20260306,430200.00,ACT,LA-2026-01490,386200.00,20260731,20260816,20290815,20260831 235900
LP-2025-01491,I1098,College of Engineering,National Science Foundation,FEL,20251203,127700.00,ACT,LA-2025-01491,115700.00,20260417,20260615,20270615,20260831 235900
LP-2025-01492,I1066,College of Engineering,Ontario Research Fund,FEL,20251023,92600.00,CLS,LA-2025-01492,69000.00,20260424,20260606,20280605,20260831 235900
LP-2026-01493,I1015,College of Health Sciences,Vertex Mobility Systems,INT,20260625,139200.00,REV,,0.00,,,,20260831 235900
LP-2024-01494,I1110,College of Science,Social Innovation Research Council,INT,20240803,65300.00,ACT,LA-2024-01494,58500.00,20250204,20250310,20280309,20260831 235900
LP-2024-01495,I1121,School of Law and Public Policy,Future Cities Foundation,RES,20240315,166500.00,ACT,LA-2024-01495,157900.00,20240901,20241012,20271012,20260831 235900
LP-2025-01496,I1064,College of Architecture and Design,Global Health Foundation,FEL,20250807,190900.00,DCL,,0.00,20251119,,,20260831 235900
LP-2023-01497,I1028,College of Humanities,Biomedical Discovery Foundation,RES,20231210,28800.00,DCL,,0.00,20240611,,,20260831 235900
LP-2023-01498,I1042,College of Engineering,National Science Foundation,RES,20230812,22900.00,DCL,,0.00,20240201,,,20260831 235900
LP-2025-01499,I1073,School of Law and Public Policy,Massachusetts Innovation Fund,INT,20250629,164500.00,DCL,,0.00,20250905,,,20260831 235900
LP-2026-01500,I1110,College of Science,Northstar Analytics,FEL,20260705,45700.00,REV,,0.00,,,,20260831 235900
LP-2025-01501,I1097,School of Law and Public Policy,Biomedical Discovery Foundation,TRN,20250529,50700.00,ACT,LA-2025-01501,33300.00,20251008,20251202,20270526,20260831 235900
LP-2025-01502,I1098,College of Engineering,Global Health Foundation,RES,20251103,96900.00,DCL,,0.00,20260215,,,20260831 235900
LP-2023-01503,I1052,College of Humanities,Education Access Foundation,RES,20230517,332000.00,ACT,LA-2023-01503,269100.00,20230723,20231002,20241001,20260831 235900
LP-2024-01504,I1137,School of Law and Public Policy,Department of Energy and Climate,EQP,20240906,97700.00,DCL,,0.00,20250131,,,20260831 235900
LP-2026-01505,I1153,School of Law and Public Policy,National Science Foundation,EQP,20260127,99500.00,ACT,LA-2026-01505,94600.00,20260725,20261004,20280327,20260831 235900
LP-2023-01506,I1013,School of Business,Global Health Foundation,EQP,20230108,188600.00,DCL,,0.00,20230514,,,20260831 235900
LP-2025-01507,I1173,School of Business,Helix Medical Devices,TRN,20251228,101100.00,AWD,LA-2025-01507,92100.00,20260328,20260529,20290528,20260831 235900
LP-2024-01508,I1152,College of Architecture and Design,Ontario Research Fund,RES,20240720,59700.00,DCL,,0.00,20241224,,,20260831 235900
LP-2024-01509,I1077,School of Business,National Health Research Council,RES,20240314,169100.00,CLS,LA-2024-01509,150100.00,20240713,20240805,20250805,20260831 235900
LP-2023-01510,I1041,School of Law and Public Policy,Ontario Research Fund,RES,20230909,149300.00,DCL,,0.00,20231125,,,20260831 235900
LP-2025-01511,I1070,College of Science,Urban Resilience Network,RES,20250503,196500.00,AWD,LA-2025-01511,145800.00,20250909,20251013,20281012,20260831 235900
LP-2024-01512,I1017,School of Law and Public Policy,Northstar Analytics,TRN,20240522,78700.00,DCL,,0.00,20241013,,,20260831 235900
LP-2026-01513,I1132,College of Humanities,Social Innovation Research Council,RES,20260306,49000.00,AWD,LA-2026-01513,32500.00,20260504,20260609,20271201,20260831 235900
LP-2024-01514,I1123,College of Social Innovation,Apex Biotechnologies,RES,20241228,199000.00,AWD,LA-2024-01514,152000.00,20250222,20250407,20280406,20260831 235900
LP-2024-01515,I1071,College of Health Sciences,Future Cities Foundation,RES,20240927,124800.00,CLS,LA-2024-01515,93600.00,20250216,20250309,20260309,20260831 235900
LP-2025-01516,I1176,College of Architecture and Design,Faculty Seed Grant Program,INT,20250324,39600.00,AWD,LA-2025-01516,29300.00,20250612,20250725,20260725,20260831 235900
LP-2023-01517,I1134,College of Science,National Science Foundation,RES,20231216,180500.00,CLS,LA-2023-01517,142500.00,20240228,20240508,20251030,20260831 235900
LP-2025-01518,I1030,College of Science,Natural Sciences Research Council,RES,20250902,91300.00,DCL,,0.00,20251207,,,20260831 235900
LP-2023-01519,I1109,School of Business,Interdisciplinary Catalyst Fund,INT,20230630,58800.00,DCL,,0.00,20230908,,,20260831 235900
LP-2023-01520,I1084,College of Humanities,Ontario Research Fund,RES,20230806,314800.00,DCL,,0.00,20231220,,,20260831 235900
LP-2025-01521,I1055,College of Health Sciences,Biomedical Discovery Foundation,RES,20251018,602100.00,DCL,,0.00,20260212,,,20260831 235900
LP-2024-01522,I1065,School of Law and Public Policy,International Research Consortium,RES,20241201,164700.00,AWD,LA-2024-01522,148900.00,20250107,20250310,20260310,20260831 235900
LP-2026-01523,I1118,College of Science,National Health Research Council,INT,20260125,350800.00,ACT,LA-2026-01523,287200.00,20260409,20260419,20280418,20260831 235900
LP-2025-01524,I1066,College of Engineering,Natural Sciences Research Council,RES,20250624,41700.00,ACT,LA-2025-01524,35400.00,20251209,20251225,20281224,20260831 235900
LP-2023-01525,I1165,School of Business,Civic Data Collaborative,INT,20230501,243200.00,DCL,,0.00,20230906,,,20260831 235900
LP-2024-01526,I1003,College of Social Innovation,National Science Foundation,RES,20240324,167700.00,DCL,,0.00,20240812,,,20260831 235900
LP-2025-01527,I1110,College of Science,Vertex Mobility Systems,TRN,20251014,59800.00,DCL,,0.00,20251206,,,20260831 235900
LP-2026-01528,I1014,College of Science,National Science Foundation,RES,20260704,68400.00,DCL,,0.00,20260831,,,20260831 235900
LP-2025-01529,I1057,School of Law and Public Policy,Interdisciplinary Catalyst Fund,RES,20250615,378300.00,DCL,,0.00,20251105,,,20260831 235900
LP-2023-01530,I1063,College of Health Sciences,Vertex Mobility Systems,EQP,20230118,28600.00,ACT,LA-2023-01530,25200.00,20230704,20230825,20250824,20260831 235900
LP-2026-01531,I1134,College of Science,Ontario Research Fund,RES,20260727,80400.00,REV,,0.00,,,,20260831 235900
LP-2026-01532,I1067,College of Social Innovation,Interdisciplinary Catalyst Fund,FEL,20260503,98800.00,ACT,LA-2026-01532,65400.00,20260807,20260821,20270821,20260831 235900
LP-2026-01533,I1081,School of Law and Public Policy,Natural Sciences Research Council,TRN,20260808,115500.00,REV,,0.00,,,,20260831 235900
LP-2025-01534,I1072,College of Architecture and Design,Helix Medical Devices,RES,20251021,63000.00,AWD,LA-2025-01534,59900.00,20260429,20260614,20270614,20260831 235900
LP-2023-01535,I1146,College of Engineering,Apex Biotechnologies,RES,20230201,37800.00,CLS,LA-2023-01535,30300.00,20230323,20230521,20260520,20260831 235900
LP-2023-01536,I1120,College of Architecture and Design,Ontario Research Fund,RES,20230812,59900.00,DCL,,0.00,20231210,,,20260831 235900
LP-2025-01537,I1137,School of Law and Public Policy,Natural Sciences Research Council,TRN,20250906,218500.00,CLS,LA-2025-01537,137300.00,20260113,20260222,20290221,20260831 235900
LP-2024-01538,I1142,College of Science,Community Wellbeing Trust,EQP,20240325,554500.00,DCL,,0.00,20240926,,,20260831 235900
LP-2025-01539,I1112,College of Architecture and Design,Social Innovation Research Council,FEL,20250701,376800.00,ACT,LA-2025-01539,258700.00,20251125,20251229,20271229,20260831 235900
LP-2024-01540,I1093,School of Business,Social Innovation Research Council,RES,20240504,79900.00,DCL,,0.00,20240608,,,20260831 235900
LP-2025-01541,I1126,College of Science,Department of Public Health,EQP,20250516,84600.00,DCL,,0.00,20250928,,,20260831 235900
LP-2025-01542,I1105,School of Law and Public Policy,National Science Foundation,FEL,20251111,302700.00,CLS,LA-2025-01542,265100.00,20260413,20260424,20290423,20260831 235900
LP-2025-01543,I1004,College of Humanities,Internal Strategic Research Fund,RES,20250416,47400.00,WD,,0.00,20250524,,,20260831 235900
LP-2023-01544,I1111,College of Health Sciences,National Science Foundation,RES,20230812,125100.00,DCL,,0.00,20230916,,,20260831 235900
LP-2025-01545,I1007,College of Health Sciences,National Science Foundation,RES,20250616,183800.00,DCL,,0.00,20251127,,,20260831 235900
LP-2023-01546,I1077,School of Business,National Health Research Council,RES,20231012,45400.00,WD,,0.00,20240226,,,20260831 235900
LP-2024-01547,I1176,College of Architecture and Design,Education Access Foundation,EQP,20240827,39500.00,ACT,LA-2024-01547,24800.00,20241027,20241115,20251115,20260831 235900
